experiment_id,run_id,coop_level,risk_level,coop_value,risk_value,replication,extraction_fraction_r0,gini_r0,cooperation_score_r0,total_extraction_r0,pool_after_r0,extraction_over_capacity_r0,rounds_played,collapse_round,terminated_early
full_experiment_v1,cond_high_high_rep1,high,high,0.8,0.8,1,0.800000,0.000000,0.200000,48.000000,59.800000,0.480000,10,9,True
full_experiment_v1,cond_high_high_rep2,high,high,0.8,0.8,2,0.800000,0.000000,0.200000,48.000000,59.800000,0.480000,10,9,True
full_experiment_v1,cond_high_high_rep3,high,high,0.8,0.8,3,0.800000,0.000000,0.200000,48.000000,59.800000,0.480000,10,9,True
full_experiment_v1,cond_high_high_rep4,high,high,0.8,0.8,4,0.800000,0.000000,0.200000,48.000000,59.800000,0.480000,10,9,True
full_experiment_v1,cond_high_high_rep5,high,high,0.8,0.8,5,0.800000,0.000000,0.200000,48.000000,59.800000,0.480000,10,9,True
full_experiment_v1,cond_high_low_rep1,high,low,0.8,0.2,1,0.700000,0.000000,0.300000,42.000000,66.700000,0.420000,13,12,True
full_experiment_v1,cond_high_low_rep2,high,low,0.8,0.2,2,0.680000,0.023529,0.320000,40.800000,68.080000,0.408000,13,12,True
full_experiment_v1,cond_high_low_rep3,high,low,0.8,0.2,3,0.700000,0.000000,0.300000,42.000000,66.700000,0.420000,13,12,True
full_experiment_v1,cond_high_low_rep4,high,low,0.8,0.2,4,0.700000,0.000000,0.300000,42.000000,66.700000,0.420000,14,13,True
full_experiment_v1,cond_high_low_rep5,high,low,0.8,0.2,5,0.730000,0.001900,0.298333,42.100000,66.585000,0.421000,13,12,True
full_experiment_v1,cond_high_medium_rep1,high,medium,0.8,0.5,1,0.800000,0.000000,0.200000,48.000000,59.800000,0.480000,12,11,True
full_experiment_v1,cond_high_medium_rep2,high,medium,0.8,0.5,2,0.780000,0.020513,0.220000,46.800000,61.180000,0.468000,12,11,True
full_experiment_v1,cond_high_medium_rep3,high,medium,0.8,0.5,3,0.800000,0.000000,0.200000,48.000000,59.800000,0.480000,12,11,True
full_experiment_v1,cond_high_medium_rep4,high,medium,0.8,0.5,4,0.800000,0.000000,0.200000,48.000000,59.800000,0.480000,11,10,True
full_experiment_v1,cond_high_medium_rep5,high,medium,0.8,0.5,5,0.800000,0.000000,0.200000,48.000000,59.800000,0.480000,12,11,True
full_experiment_v1,cond_low_high_rep1,low,high,0.2,0.8,1,0.800000,0.000000,0.200000,48.000000,59.800000,0.480000,10,9,True
full_experiment_v1,cond_low_high_rep2,low,high,0.2,0.8,2,0.800000,0.000000,0.200000,48.000000,59.800000,0.480000,10,9,True
